Amplitude (V),alpha,tau,beta,gamma,r2_score
7,-922513.7516651241,0.41841446537927285,0.8485200710060703,10677953.772731388,0.29310693510333896
7,-1161297.8272470643,0.6246600685178145,0.5940973822500553,10142111.255646074,0.5566857158129679
7,-1245453.5243451523,0.6492169141443871,0.5048732923627687,9824352.81001042,0.6193608050345383
7,-1209690.1906942953,0.6049387399370355,0.45578223862312267,9584415.99744558,0.6044621066338105
7,-1106497.4893594335,0.7961425851661166,0.4901974479458535,9393084.206317838,0.6400075004175503
7,-1219426.4426412326,0.6323534606181217,0.42049483675049326,9238844.885576451,0.657895453385855
7,-1127771.7972728962,0.6762198122469155,0.46959534703845146,9087209.233145075,0.655311606317442
7,-928771.1665194682,0.7687056855586899,0.6073273015813927,8911145.665282777,0.40566121821320233
7,-1193933.447604403,0.7836139982719174,0.3933607534117227,8879486.090516802,0.7134301417409644
7,-1036825.8485102882,0.6213766847627283,0.46870920823113627,8693743.013496833,0.41913769283480096
7,-1236719.5254994957,0.580642329310608,0.40895169157947964,8647532.158555318,0.6630875493716629
7,-906886.9758321145,0.779967496792839,0.617205800483483,8504388.648231976,0.4159185557297903
7,-1272023.8607678975,0.9368316399827946,0.30901665155098945,8579671.367402034,0.6311355684197418
7,-1037876.7558719645,0.7676335589850559,0.4481960150551295,8423643.61487916,0.7015474686989562
7,-769431.9127058453,2.9636841134322265,0.6073402854272963,8369371.726750731,0.6979281715059837
-7,7322181.879944622,1.198277799900622,0.3529159359446064,9234596.258369436,0.9792192141369951
-7,7540687.970572235,1.8049307853278806,0.34706248707207016,9520928.337807253,0.9634837544514255
-7,8233741.8345660055,1.487226470265647,0.334333486225319,10031101.73619829,0.9750281941499505
