Amplitude (V),alpha,tau,beta,gamma,r2_score
-7,10344651.33913143,2.380749796481083,0.3160582399417074,11818254.761155745,0.9718624070679904
-7,10481448.576994432,3.7154366520242426,0.3192987367159012,11849271.837753532,0.9680967690943975
-7,10891024.505522978,5.480531164180767,0.3111252183725471,11528363.81129567,0.9618064175536637
-7,11234540.182771163,4.543652448454261,0.28076491913413304,11713871.29412319,0.9586409797015168
-7,10772729.571383297,4.433769291376047,0.326930154136883,12308099.8335661,0.9605215892646346
-7,11517007.648594178,6.023707138667536,0.3009674351064756,11784803.82621616,0.9603777429728647
-7,11119275.938876858,3.333110762350856,0.31739860563559935,12822091.462958874,0.9565501601349253
-7,12087016.356462095,2.920598289570947,0.30343873099110547,12877867.65445829,0.9598361495864379
-7,12535710.898118632,4.8344409914926185,0.2909066622064395,12175675.322795665,0.955289284048634
-7,10961915.699703427,4.319451457379497,0.32080332402223893,12972842.565941887,0.9585189247482088
-7,11180421.880997831,4.169879224036138,0.3282206158867863,13140878.96671807,0.956963715835049
-7,12106724.738181105,3.388948690459186,0.31174900137548617,13200699.317771705,0.9559974967278607
-7,12062880.3110053,3.557627039846373,0.3100982658754657,13279537.394016247,0.9589525657575156
-7,12542614.655619236,4.021251033355571,0.2977064708001432,13051697.598349834,0.9625087181271311
-7,12035633.728312565,3.463129547250476,0.3145548841543607,13530670.755119488,0.9530293953821666
7,-770880.690967854,0.360354383306461,0.9999999999999232,12903864.355847565,0.08568616706736842
7,-457933.5616760591,1.65567164040164,0.999999999999804,11556294.356938088,0.18285488096560343
7,-648911.7138159357,0.5752881366165005,0.8472291552655243,10740620.271010492,0.1533446165362119
