N,time0,res0,time1,res1,time2,res2,time3,res3,time4,res4,time5,res5,time6,res6,time7,res7,time8,res8,time9,res9,time10,res10,time11,res11,time12,res12,time13,res13,time14,res14,time15,res15,time16,res16,time17,res17
1.0,0.0,20645620.0,0.0,21303680.0,0.0,21011678.0,0.0,21083052.0,0.0,21831338.0,0.0,22181358.0,0.0,22561610.0,0.0,23420134.0,0.0,23509276.0,0.0,22778548.0,0.0,23130726.0,0.0,24029944.0,0.0,24127824.0,0.0,24434202.0,0.0,24325996.0,0.0,12276437.0,0.0,10938838.0,0.0,10095828.0
1.0,0.009994268417358398,20998108.0,0.018159151077270508,20903884.0,0.010037899017333984,21348962.0,0.012056827545166016,21945530.0,0.01975107192993164,22157788.0,0.031258583068847656,21503948.0,0.015624523162841797,23524464.0,0.015624523162841797,23646226.0,0.030642271041870117,22731154.0,0.015625715255737305,22310286.0,0.010045289993286133,23559818.0,0.015625476837158203,24230420.0,0.015624284744262695,24127824.0,0.009929656982421875,23693524.0,0.01562666893005371,23880738.0,0.0312504768371582,12146598.0,0.022141218185424805,10944138.0,0.01563119888305664,10144413.0
1.0,0.013991117477416992,20531650.0,0.03378891944885254,20492812.0,0.03567385673522949,20358548.0,0.032166242599487305,21083052.0,0.03998064994812012,21949074.0,0.046884775161743164,21083052.0,0.0312497615814209,22918132.0,0.03125,23320398.0,0.046266794204711914,22465096.0,0.031249523162841797,22147050.0,0.030040740966796875,22533274.0,0.031250715255737305,22483254.0,0.0312497615814209,22870196.0,0.029928922653198242,22829816.0,0.037767887115478516,23744840.0,0.0468747615814209,12372132.0,0.03776192665100098,11064973.0,0.031260013580322266,9946903.0
1.0,0.01798868179321289,20144298.0,0.04941082000732422,20506060.0,0.05134940147399902,20144296.0,0.05227160453796387,20317060.0,0.06004190444946289,21093266.0,0.06251025199890137,21543044.0,0.046874284744262695,20940814.0,0.04687380790710449,22862802.0,0.0618896484375,21507420.0,0.04687237739562988,21901432.0,0.050180673599243164,22515082.0,0.0533902645111084,23289618.0,0.04687690734863281,23051896.0,0.04495573043823242,23744840.0,0.053392648696899414,23520666.0,0.06901288032531738,12189995.0,0.05338430404663086,10853940.0,0.04688262939453125,10349858.0
1.0,0.021986007690429688,19777564.0,0.06503820419311523,19920172.0,0.06692337989807129,20711122.0,0.0703589916229248,22061008.0,0.08516073226928711,20573938.0,0.07813215255737305,20967718.0,0.06558847427368164,21387498.0,0.06249809265136719,21787688.0,0.0775141716003418,21791206.0,0.0624995231628418,22061008.0,0.07034754753112793,22561610.0,0.06902289390563965,23228940.0,0.0625002384185791,23141942.0,0.0749971866607666,23466512.0,0.06902003288269043,22622932.0,0.08463668823242188,12253025.0,0.0690152645111084,10993123.0,0.06250429153442383,10046114.0
1.0,0.02598404884338379,19834202.0,0.08066272735595703,20415546.0,0.0825498104095459,20219582.0,0.09854388236999512,20541598.0,0.09977197647094727,20648958.0,0.09375858306884766,21004896.0,0.08575582504272461,21348962.0,0.08463263511657715,21912044.0,0.09313845634460449,21777130.0,0.07812356948852539,22525998.0,0.09026432037353516,21661196.0,0.08463907241821289,22237340.0,0.08462953567504883,22391012.0,0.09020018577575684,22150630.0,0.08464241027832031,23270820.0,0.10027647018432617,12102835.0,0.08463644981384277,10948948.0,0.07815051078796387,10087677.0
1.0,0.03497815132141113,20021116.0,0.09628796577453613,19873902.0,0.0981740951538086,20157316.0,0.11416935920715332,20048520.0,0.10982728004455566,20717812.0,0.11589670181274414,20714462.0,0.10593461990356445,21079648.0,0.10026431083679199,21949078.0,0.1087656021118164,21668194.0,0.10026311874389648,20897134.0,0.11008334159851074,22053876.0,0.1002650260925293,22691276.0,0.10026192665100098,23033278.0,0.110198974609375,22313888.0,0.10026788711547852,22785912.0,0.11588621139526367,12303918.0,0.10025978088378906,10892084.0,0.09375452995300293,10295906.0
1.0,0.043973445892333984,19594076.0,0.11592316627502441,19617010.0,0.11379837989807129,20609718.0,0.12979722023010254,20188392.0,0.12743067741394043,20714466.0,0.13404154777526855,20971100.0,0.1260533332824707,20548232.0,0.11588835716247559,21730150.0,0.1309051513671875,21137840.0,0.11588883399963379,21493526.0,0.13024353981018066,20930674.0,0.11588931083679199,21890816.0,0.11590123176574707,22261152.0,0.13010764122009277,22479624.0,0.1158897876739502,22579838.0,0.13151192665100098,12267689.0,0.12239670753479004,10979390.0,0.11589694023132324,10340826.0
1.0,0.05296754837036133,19564902.0,0.13155126571655273,19285046.0,0.13593530654907227,19850228.0,0.14542150497436523,20351972.0,0.14755630493164062,20154058.0,0.14966559410095215,20144296.0,0.14407992362976074,21711384.0,0.13151288032531738,21154930.0,0.1465306282043457,20967714.0,0.13151097297668457,21004892.0,0.1501781940460205,21496998.0,0.13151288032531738,22020002.0,0.13151025772094727,21723128.0,0.15027499198913574,22866498.0,0.1380293369293213,22271944.0,0.15364432334899902,12470276.0,0.13802361488342285,11085676.0,0.1315164566040039,10214374.0
1.0,0.056964874267578125,19744602.0,0.14717626571655273,19754170.0,0.15156102180480957,20144296.0,0.16104578971862793,19465380.0,0.16566991806030273,19826638.0,0.16529154777526855,20326908.0,0.159712553024292,20320346.0,0.14713716506958008,20599732.0,0.16433191299438477,21422716.0,0.14713597297668457,21234184.0,0.1702899932861328,21941990.0,0.15365004539489746,21429634.0,0.14713621139526367,21868086.0,0.1698322296142578,21426174.0,0.15365386009216309,22644228.0,0.1692793369293213,12406987.0,0.15364694595336914,11076724.0,0.14714932441711426,10313827.0
